Nx_nodes= 41, Ny_nodes= 41
X	Y	U	V	P
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-9.357925e-03
2.500000e-02	0.000000e+00	2.394966e-04	0.000000e+00	-1.265114e-06
5.000000e-02	0.000000e+00	7.017375e-04	0.000000e+00	-4.183628e-05
7.500000e-02	0.000000e+00	1.130060e-03	0.000000e+00	-1.567750e-04
1.000000e-01	0.000000e+00	1.391206e-03	0.000000e+00	-3.369120e-04
1.250000e-01	0.000000e+00	1.442893e-03	0.000000e+00	-5.684458e-04
1.500000e-01	0.000000e+00	1.286282e-03	0.000000e+00	-8.420800e-04
1.750000e-01	0.000000e+00	9.295644e-04	0.000000e+00	-1.154844e-03
2.000000e-01	0.000000e+00	3.676413e-04	0.000000e+00	-1.507839e-03
2.250000e-01	0.000000e+00	-4.228930e-04	0.000000e+00	-1.902401e-03
2.500000e-01	0.000000e+00	-1.477767e-03	0.000000e+00	-2.336346e-03
2.750000e-01	0.000000e+00	-2.833747e-03	0.000000e+00	-2.801006e-03
3.000000e-01	0.000000e+00	-4.516321e-03	0.000000e+00	-3.279170e-03
3.250000e-01	0.000000e+00	-6.528072e-03	0.000000e+00	-3.743867e-03
3.500000e-01	0.000000e+00	-8.838133e-03	0.000000e+00	-4.158292e-03
3.750000e-01	0.000000e+00	-1.137349e-02	0.000000e+00	-4.477478e-03
4.000000e-01	0.000000e+00	-1.401384e-02	0.000000e+00	-4.652353e-03
4.250000e-01	0.000000e+00	-1.659228e-02	0.000000e+00	-4.636383e-03
4.500000e-01	0.000000e+00	-1.890406e-02	0.000000e+00	-4.394224e-03
4.750000e-01	0.000000e+00	-2.072426e-02	0.000000e+00	-3.911054e-03
5.000000e-01	0.000000e+00	-2.183270e-02	0.000000e+00	-3.200834e-03
5.250000e-01	0.000000e+00	-2.204221e-02	0.000000e+00	-2.311775e-03
5.500000e-01	0.000000e+00	-2.122616e-02	0.000000e+00	-1.327333e-03
5.750000e-01	0.000000e+00	-1.934213e-02	0.000000e+00	-3.610825e-04
6.000000e-01	0.000000e+00	-1.644944e-02	0.000000e+00	4.557540e-04
6.250000e-01	0.000000e+00	-1.271816e-02	0.000000e+00	9.941061e-04
6.500000e-01	0.000000e+00	-8.426261e-03	0.000000e+00	1.151787e-03
6.750000e-01	0.000000e+00	-3.940357e-03	0.000000e+00	8.777872e-04
7.000000e-01	0.000000e+00	3.238286e-04	0.000000e+00	1.884473e-04
7.250000e-01	0.000000e+00	3.961481e-03	0.000000e+00	-8.319011e-04
7.500000e-01	0.000000e+00	6.651359e-03	0.000000e+00	-2.048942e-03
7.750000e-01	0.000000e+00	8.222264e-03	0.000000e+00	-3.310624e-03
8.000000e-01	0.000000e+00	8.687082e-03	0.000000e+00	-4.482340e-03
8.250000e-01	0.000000e+00	8.224536e-03	0.000000e+00	-5.472193e-03
8.500000e-01	0.000000e+00	7.112309e-03	0.000000e+00	-6.238990e-03
8.750000e-01	0.000000e+00	5.641874e-03	0.000000e+00	-6.784083e-03
9.000000e-01	0.000000e+00	4.054137e-03	0.000000e+00	-7.134254e-03
9.250000e-01	0.000000e+00	2.522984e-03	0.000000e+00	-7.324059e-03
9.500000e-01	0.000000e+00	1.195003e-03	0.000000e+00	-7.385503e-03
9.750000e-01	0.000000e+00	2.663448e-04	0.000000e+00	-7.353687e-03
1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.494963e-02
0.000000e+00	2.500000e-02	0.000000e+00	-2.415324e-04	-8.608273e-04
2.500000e-02	2.500000e-02	7.112535e-04	-7.058292e-04	-6.248094e-07
5.000000e-02	2.500000e-02	1.876797e-03	-8.946466e-04	-4.111778e-05
7.500000e-02	2.500000e-02	2.823937e-03	-6.934675e-04	-1.523974e-04
1.000000e-01	2.500000e-02	3.188358e-03	-3.166988e-04	-3.240629e-04
1.250000e-01	2.500000e-02	2.820594e-03	1.012355e-04	-5.435245e-04
1.500000e-01	2.500000e-02	1.678923e-03	5.098567e-04	-8.027604e-04
1.750000e-01	2.500000e-02	-2.561128e-04	9.154184e-04	-1.099706e-03
